Date Time,Power (kW)
8/1/2018 0:00,0
8/1/2018 0:05,0
8/1/2018 0:10,0
8/1/2018 0:15,0
8/1/2018 0:20,0
8/1/2018 0:25,0
8/1/2018 0:30,0
8/1/2018 0:35,0
8/1/2018 0:40,0
8/1/2018 0:45,0
8/1/2018 0:50,0
8/1/2018 0:55,0
8/1/2018 1:00,0
8/1/2018 1:05,0
8/1/2018 1:10,0
8/1/2018 1:15,0
8/1/2018 1:20,0
8/1/2018 1:25,0
8/1/2018 1:30,0
8/1/2018 1:35,0
8/1/2018 1:40,0
8/1/2018 1:45,0
8/1/2018 1:50,0
8/1/2018 1:55,0
8/1/2018 2:00,0
8/1/2018 2:05,0
8/1/2018 2:10,0
8/1/2018 2:15,0
8/1/2018 2:20,0
8/1/2018 2:25,0
8/1/2018 2:30,0
8/1/2018 2:35,0
8/1/2018 2:40,0
8/1/2018 2:45,0
8/1/2018 2:50,0
8/1/2018 2:55,0
8/1/2018 3:00,0
8/1/2018 3:05,0
8/1/2018 3:10,0
8/1/2018 3:15,0
8/1/2018 3:20,0
8/1/2018 3:25,0
8/1/2018 3:30,0
8/1/2018 3:35,0
8/1/2018 3:40,0
8/1/2018 3:45,0
8/1/2018 3:50,0
8/1/2018 3:55,0
8/1/2018 4:00,0
8/1/2018 4:05,0
8/1/2018 4:10,0
8/1/2018 4:15,0
8/1/2018 4:20,0
8/1/2018 4:25,0
8/1/2018 4:30,0
8/1/2018 4:35,0
8/1/2018 4:40,0
8/1/2018 4:45,0
8/1/2018 4:50,0
8/1/2018 4:55,0
8/1/2018 5:00,0
8/1/2018 5:05,0
8/1/2018 5:10,0
8/1/2018 5:15,0
8/1/2018 5:20,0
8/1/2018 5:25,0
8/1/2018 5:30,0
8/1/2018 5:35,0
8/1/2018 5:40,0
8/1/2018 5:45,0
8/1/2018 5:50,0
8/1/2018 5:55,0
8/1/2018 6:00,0
8/1/2018 6:05,0
8/1/2018 6:10,0
8/1/2018 6:15,2.07
8/1/2018 6:20,3.59
8/1/2018 6:25,4.91
8/1/2018 6:30,6.45
8/1/2018 6:35,7.76
8/1/2018 6:40,8.51
8/1/2018 6:45,9.18
8/1/2018 6:50,10.21
8/1/2018 6:55,12.01
8/1/2018 7:00,13.91
8/1/2018 7:05,16.77
8/1/2018 7:10,19.29
8/1/2018 7:15,29.63
8/1/2018 7:20,30.37
8/1/2018 7:25,30.17
8/1/2018 7:30,40.5
8/1/2018 7:35,48.18
8/1/2018 7:40,64.63
8/1/2018 7:45,70.24
8/1/2018 7:50,80.73
8/1/2018 7:55,90.44
8/1/2018 8:00,100.21
8/1/2018 8:05,110.43
8/1/2018 8:10,120.48
8/1/2018 8:15,130.76
8/1/2018 8:20,138.99
8/1/2018 8:25,150.77
8/1/2018 8:30,159.97
8/1/2018 8:35,170.38
8/1/2018 8:40,180.79
8/1/2018 8:45,189.79
8/1/2018 8:50,200.41
8/1/2018 8:55,210.3
8/1/2018 9:00,222.09
8/1/2018 9:05,230.31
8/1/2018 9:10,238.89
8/1/2018 9:15,247.02
8/1/2018 9:20,258.55
8/1/2018 9:25,267.83
8/1/2018 9:30,276.54
8/1/2018 9:35,286.03
8/1/2018 9:40,295.75
8/1/2018 9:45,304.6
8/1/2018 9:50,313.06
8/1/2018 9:55,322
8/1/2018 10:00,329.86
8/1/2018 10:05,335.63
8/1/2018 10:10,342.5
8/1/2018 10:15,352.66
8/1/2018 10:20,360.7
8/1/2018 10:25,369.35
8/1/2018 10:30,376.12
8/1/2018 10:35,383.66
8/1/2018 10:40,392.16
8/1/2018 10:45,399.45
8/1/2018 10:50,404.46
8/1/2018 10:55,412.26
8/1/2018 11:00,416.42
8/1/2018 11:05,421.7
8/1/2018 11:10,427.22
8/1/2018 11:15,433.78
8/1/2018 11:20,437.28
8/1/2018 11:25,446.32
8/1/2018 11:30,453.32
8/1/2018 11:35,458.82
8/1/2018 11:40,463.3
8/1/2018 11:45,468.08
8/1/2018 11:50,471.32
8/1/2018 11:55,474.32
8/1/2018 12:00,481.44
8/1/2018 12:05,485.78
8/1/2018 12:10,489.2
8/1/2018 12:15,488.46
8/1/2018 12:20,492.04
8/1/2018 12:25,495.42
8/1/2018 12:30,499.82
8/1/2018 12:35,500.57
8/1/2018 12:40,501.58
8/1/2018 12:45,499.72
8/1/2018 12:50,502.72
